SBQQ__OPPORTUNITY2__C,SBQQ__PRIMARY__C,TOTAL_AMOUNT__C,TOTAL_INCREMENTAL_ARR__C
0063Z00000fwI9pQAE,true,73502,91241
0063Z00000fwIV2QAM,true,54987,75049
0063Z00000fwIVvQAM,true,39444,59693
0063Z00000fwIWyQAM,true,40346,65660
0063Z00000fbCVHQA2,true,80186,51564
006f100000esL2kAAE,true,47265,73822
0063Z00000fwIg8QAE,true,90673,56825
0063Z00000fwIgNQAU,true,39019,44825
0063Z00000fwIjCQAU,true,33995,70752
0063Z00000fwIkKQAU,true,52322,68130
0063Z00000fwIlhQAE,true,89355,32081
0063Z00000fwImLQAU,true,38155,57021
0063Z00000fwIndQAE,true,60579,31046
0063Z00000fwIypQAE,true,77653,62891
0063Z00000fwJ1eQAE,true,80852,68461
0063Z00000fwJ4JQAU,true,93789,37995
0063Z00000fwJ5RQAU,true,56869,44005
0063Z00000fwJ6AQAU,true,50854,89170
0063Z00000fwJA7QAM,true,49735,64230
0063Z00000fwJARQA2,true,39752,98950
0063Z00000fwJBFQA2,true,35332,53560
0063Z00000fwJDaQAM,true,31967,39125
0063Z00000fwJFRQA2,true,73609,84722
0063Z00000fwJI6QAM,true,55510,99506
0063Z00000fwJIzQAM,true,61904,46915
0063Z00000fwFGrQAM,true,71494,44025
0063Z00000fwJLyQAM,true,38513,44779
,true,36037,99340
0063Z00000fwKsoQAE,true,54488,69008
006f100000fBwuzAAC,true,57441,30088
,true,88854,92382
,true,39742,60859
,true,82374,38938
0063Z00000fwL1CQAU,false,73453,59232
0063Z00000fwL1CQAU,true,67592,64203
0063Z00000fbB7RQAU,true,39084,32459
0063Z00000fwLAnQAM,true,76192,86221
006f100000dVwHpAAK,true,82397,44468
0063Z00000fwMDsQAM,true,98703,77788
0063Z00000fwMcTQAU,true,80823,69403
006f100000dxum9AAA,true,79271,52625
0063Z00000fwP1lQAE,true,98712,33020
006f100000fBpbJAAS,true,81486,83603
0063Z00000fwRVVQA2,true,73929,97018
0063Z00000fwRVQQA2,true,75721,44916
006f100000et5CrAAI,true,85793,34933
006f100000etEJbAAM,true,40098,56318
006f100000erBNIAA2,true,45816,95845
006f100000etMvIAAU,true,68633,64582
006f100000etMzoAAE,true,56647,30554
0063Z00000fwSNGQA2,true,62641,33081
0063Z00000fwTYXQA2,true,69313,55217
,true,66667,53958
006f100000fBPCcAAO,true,68039,34309
006f100000fBhIcAAK,true,50919,91141
,true,98441,49211
0063Z00000fwVb5QAE,true,83829,33667
0063Z00000fwX8lQAE,true,63304,91911
0063Z00000fbCScQAM,true,60943,61755
0063Z00000fwXlLQAU,true,31341,75878
0063Z00000fwZaLQAU,true,73074,93202
0063Z00000fwZhgQAE,true,43173,34564
0063Z00000fkAphQAE,true,65370,77967
0063Z00000fwZyXQAU,true,90158,73367
0063Z00000fwZzaQAE,true,90192,38760
0063Z00000fwa3DQAQ,true,44553,44845
0063Z00000fwa4QQAQ,true,48292,91495
0063Z00000fwa5JQAQ,true,66493,98875
0063Z00000fwa6WQAQ,true,92293,42235
0063Z00000fwaOuQAI,true,67834,42591
006f100000erAUNAA2,false,72164,32120
0063Z00000fwckoQAA,true,77635,85983
0063Z00000fwdN2QAI,true,91767,61367
0063Z00000fwdNWQAY,true,89101,86817
0063Z00000fwdPrQAI,true,35869,40165
0063Z00000fwdRYQAY,true,35996,99989
0063Z00000fwdRnQAI,true,60774,67219
0063Z00000fwdSlQAI,true,44827,75147
0063Z00000fwdTPQAY,true,35298,52401
0063Z00000fwdUrQAI,true,59638,62420
0063Z00000fwelFQAQ,true,86528,78969
0063Z00000fwf9MQAQ,true,46803,53970
006f100000fk3UgAAI,true,32930,67576
,true,91800,52148
0063Z00000fwfdCQAQ,true,79773,45023
0063Z00000fwffSQAQ,true,75697,43425
0063Z00000fwflVQAQ,true,53317,61345
0063Z00000fwfriQAA,true,91016,99119
0063Z00000fwfsbQAA,true,88957,52679
0063Z00000fwgBTQAY,true,56011,30067
0063Z00000fwMkXQAU,true,50923,47764
006f100000fBrpyAAC,true,68828,97545
0063Z00000fwHImQAM,true,77533,49227
0063Z00000fb7wTQAQ,true,45266,90694
0063Z00000fwgxdQAA,true,97387,38984
0063Z00000fwaf7QAA,true,66263,68081
0063Z00000fwhpGQAQ,true,62002,30175
0063Z00000fwi1WQAQ,true,50273,93107
0063Z00000fwi9kQAA,true,35707,95389
0063Z00000fwiBCQAY,true,88265,44138
0063Z00000fwiwXQAQ,true,52688,58719
0063Z00000fwj5eQAA,true,87520,86346
006f100000fBkhoAAC,true,79558,72949
0063Z00000fwkqGQAQ,true,87151,96644
0063Z00000fwah8QAA,true,39773,34066
0063Z00000fwm1eQAA,true,96724,41305
0063Z00000fwmDkQAI,true,47775,98744
0063Z00000fwmDpQAI,true,59962,45780
,true,34728,74446
0063Z00000fwn5DQAQ,true,40427,38396
006f100000esjXHAAY,false,90299,53447
006f100000esjXHAAY,true,88111,88232
0063Z00000fwnaPQAQ,true,41182,95799
0063Z00000fwopVQAQ,true,41614,93307
0063Z00000fwpIrQAI,true,42996,75843
0063Z00000fwpyMQAQ,true,65942,87738
0063Z00000fwHFJQA2,true,78966,60942
0063Z00000fwV83QAE,true,55174,81346
0063Z00000fwuexQAA,true,92058,54443
0063Z00000fwuenQAA,true,61120,94214
0063Z00000fwuesQAA,true,90270,82634
0063Z00000fwve4QAA,true,56853,35569
0063Z00000fwxWrQAI,true,89919,73055
0063Z00000fwxWwQAI,true,96435,62673
0063Z00000fwyHTQAY,true,64096,71998
0063Z00000fww7BQAQ,true,76544,89889
0063Z00000fwN69QAE,true,53507,92136
006f100000es2e3AAA,true,39229,34143
0063Z00000fwyZAQAY,true,69089,43852
0063Z00000fwycxQAA,true,57967,76411
0063Z00000fwztkQAA,true,47422,86380
0063Z00000fx0HSQAY,true,51214,42001
0063Z00000fx0HXQAY,true,98838,76359
0063Z00000fx0UCQAY,true,86123,35065
0063Z00000fx0UHQAY,true,56613,99026
0063Z00000fx1m3QAA,true,60763,88921
0063Z00000fx29MQAQ,true,34028,49000
0063Z00000fwqYCQAY,true,34796,77748
0063Z00000fwN8eQAE,true,45420,40514
0063Z00000fx4XYQAY,true,30501,44850
0063Z00000fx5ulQAA,true,98819,40473
0063Z00000fx6ApQAI,true,51697,88147
0063Z00000fwi1CQAQ,true,68407,32911
0063Z00000fx6PkQAI,true,33035,45688
0063Z00000fx6RCQAY,true,64142,99745
0063Z00000fx6jVQAQ,true,99303,73845
006f100000dvgSmAAI,true,82740,49186
,true,87541,56599
0063Z00000fx7Q2QAI,true,68123,95887
0063Z00000fx7Q7QAI,true,70919,31369
0063Z00000fx7y5QAA,true,32998,46176
0063Z00000fx8GHQAY,true,75590,75495
0063Z00000fx80QQAQ,true,42950,77336
0063Z00000fwdVuQAI,true,48056,89931
006f100000fB5L7AAK,true,53793,34595
006f100000fASVvAAO,true,86111,70426
006f100000esGcgAAE,true,31741,69891
0063Z00000fxBYHQA2,true,61728,99406
0063Z00000fxBxoQAE,true,86612,86862
0063Z00000fxCjxQAE,true,71549,91813
0063Z00000fwb6SQAQ,true,62433,59262
0063Z00000fxDdbQAE,true,55711,94084
0063Z00000fxElqQAE,true,93241,92826
0063Z00000fxF6UQAU,true,71661,54316
0063Z00000fxFN6QAM,true,60307,79558
0063Z00000fxFUHQA2,true,49607,76262
0063Z00000fxFqwQAE,true,86346,45675
0063Z00000fxHoeQAE,true,68341,99124
0063Z00000fxHofQAE,true,34346,98940
0063Z00000fxHogQAE,true,79385,94367
0063Z00000fxInXQAU,true,93518,35849
0063Z00000fxIs3QAE,true,83409,72178
0063Z00000fxItQQAU,true,62446,84290
0063Z00000fxItpQAE,true,52126,97925
0063Z00000fxIuTQAU,true,61009,60251
0063Z00000fxIvMQAU,true,78115,58225
0063Z00000fxIwFQAU,true,90275,52852
0063Z00000fxIwyQAE,true,82650,69397
0063Z00000fxJ4sQAE,true,34405,88567
0063Z00000fxJ6AQAU,true,51157,52330
0063Z00000fxJC8QAM,true,73804,61407
0063Z00000fxJCcQAM,true,43963,87802
0063Z00000fxJQyQAM,true,73927,91957
0063Z00000fwMlzQAE,true,48968,97858
0063Z00000fxJX1QAM,true,44122,32312
006f100000fjrMTAAY,true,62308,33014
0063Z00000fxKEZQA2,true,98751,93504
0063Z00000fxKEUQA2,true,66729,92452
0063Z00000fxKPNQA2,true,79265,41906
0063Z00000fxKaGQAU,true,80352,41712
0063Z00000fxKazQAE,true,77513,42918
0063Z00000fxKcWQAU,true,69028,72056
0063Z00000fxKdZQAU,true,33049,64548
0063Z00000fxKehQAE,true,67490,93531
0063Z00000fxKfuQAE,true,72577,91777
0063Z00000fxKhqQAE,true,73963,49816
0063Z00000fxKnyQAE,true,59405,80067
0063Z00000fxKxZQAU,true,93985,57761
,true,66676,33540
,true,45592,76281
006f100000esNSTAA2,true,86060,90851
0063Z00000fxL67QAE,true,96892,56860
0063Z00000fxL6lQAE,true,42898,52910
0063Z00000fx8lcQAA,true,76551,92797
0063Z00000fxLtGQAU,true,93548,32307
0063Z00000fxLtBQAU,true,81394,53329
0063Z00000fxLtLQAU,true,62336,95184
0063Z00000fxLtQQAU,true,67493,76173
0063Z00000fwroGQAQ,true,86108,38236
0063Z00000fxMopQAE,true,46233,75913
0063Z00000fxMpEQAU,true,74859,43154
0063Z00000fxMpxQAE,true,78984,60148
0063Z00000fxMqbQAE,true,49631,64602
0063Z00000fxMrKQAU,true,49216,39914
0063Z00000fxMswQAE,true,61320,51702
0063Z00000fxMtVQAU,true,83385,87983
0063Z00000fxMvvQAE,true,67005,75284
0063Z00000fxNDpQAM,true,91001,94385
0063Z00000fxJCmQAM,true,64326,57325
0063Z00000fxNLvQAM,true,44677,46154
0063Z00000fxNNNQA2,true,92558,80431
0063Z00000fxNQ7QAM,true,37593,93425
0063Z00000fxNSmQAM,true,35423,79701
0063Z00000fxNU4QAM,true,57694,85643
0063Z00000fxNVqQAM,true,38980,30957
0063Z00000fxNXSQA2,true,77748,49907
0063Z00000fxNa7QAE,true,73621,68805
0063Z00000fxOTNQA2,true,73551,79786
0063Z00000fxOX0QAM,true,94990,55727
,true,44237,61367
0063Z00000fxU4uQAE,true,30635,51897
0063Z00000fxUPsQAM,true,65783,37341
006f100000apojmAAA,true,95687,39680
0063Z00000fxV9qQAE,true,40823,63738
006f100000fBdgDAAS,true,39130,55994
0063Z00000fxWTCQA2,true,48904,87543
0063Z00000fwLReQAM,true,34267,64192
0063Z00000fxY5PQAU,false,35759,78043
0063Z00000fwxxOQAQ,true,78602,49032
0063Z00000fxYbGQAU,true,57459,65041
0063Z00000fxa7cQAA,true,82376,45757
0063Z00000fxaobQAA,true,65917,41025
0063Z00000fxbFIQAY,true,65078,65409
,true,92410,70710
006f100000fBJIFAA4,true,88057,67106
0063Z00000fxdPAQAY,false,38068,95938
0063Z00000fxf0CQAQ,true,37508,84520
0063Z00000fxf2XQAQ,true,51651,98804
0063Z00000fxffUQAQ,true,37619,53426
0063Z00000fxgMsQAI,false,61614,58803
0063Z00000fxgNgQAI,true,45054,38229
0063Z00000fxgUSQAY,true,31156,48230
0063Z00000fxhUnQAI,true,82220,64345
0063Z00000fxgA8QAI,true,82643,57785
0063Z00000fxkYFQAY,true,65804,63676
0063Z00000fxl9kQAA,true,77020,72385
0063Z00000fxlqSQAQ,true,52119,70745
0063Z00000fxm9hQAA,true,82264,79192
0063Z00000fxna4QAA,true,56350,84759
0063Z00000fxorYQAQ,true,69276,31282
0063Z00000fxpd8QAA,true,38004,43411
0063Z00000fxq6yQAA,true,93602,51621
0063Z00000fxqeaQAA,true,71342,72665
0063Z00000fx1QvQAI,true,82271,53610
0063Z00000fxh0KQAQ,true,37005,49241
0063Z00000fxrMcQAI,true,35793,56864
0063Z00000fxsD2QAI,true,58996,55889
0063Z00000fxvBbQAI,true,39575,30986
0063Z00000fwigPQAQ,true,37864,55085
0063Z00000fxgcbQAA,true,57164,77623
0063Z00000fxgMsQAI,true,58592,87032
0063Z00000fxxDPQAY,true,64963,96238
0063Z00000fxzgNQAQ,true,83132,65743
0063Z00000fxznOQAQ,true,42657,90630
0063Z00000fxzqNQAQ,true,68997,36018
0063Z00000fy06BQAQ,true,76041,79806
0063Z00000fy07JQAQ,true,56591,76764
0063Z00000fy1NVQAY,true,68425,44250
0063Z00000fy1gIQAQ,true,87189,83037
,true,74194,89295
0063Z00000fwU4TQAU,true,46806,42895
0063Z00000fy39XQAQ,true,37220,67359
0063Z00000fxvDcQAI,true,88622,84599
0063Z00000fy4qcQAA,true,64206,70531
0063Z00000fy4sYQAQ,true,32929,96400
0063Z00000fy4tCQAQ,true,56158,87123
0063Z00000fy4tgQAA,true,70458,65449
0063Z00000fy4uZQAQ,true,35723,74635
0063Z00000fy4vIQAQ,true,39502,82968
0063Z00000fy4w1QAA,true,84506,50549
0063Z00000fy4wlQAA,true,74280,91382
0063Z00000fy4ybQAA,true,39151,64335
0063Z00000fy4z5QAA,true,78282,60640
0063Z00000fb69eQAA,true,55883,36617
006OJ00000I1GzdYAF,true,99705,33607
006OJ00000I1GEsYAN,true,58747,47206
006OJ00000I1Fx7YAF,true,49306,98466
006OJ00000I1Vc5YAF,true,62849,90795
006OJ00000I1G8PYAV,true,77620,30712
006OJ00000I14CAYAZ,true,90930,84241
006OJ00000I1Gl7YAF,true,92426,35178
006OJ00000I1GefYAF,true,83027,63107
006OJ00000I1CCtYAN,true,46827,43240
006OJ00000I1Et0YAF,true,30228,94712
006OJ00000I1HNpYAN,true,51189,58605
006OJ00000I14CCYAZ,true,45812,68514
006OJ00000I1HPSYA3,true,98596,30766
006OJ00000I165qYAB,true,65640,79753
006OJ00000I1OFdYAN,true,59252,55001
006OJ00000I1EbFYAV,true,59639,37757
006OJ00000I19LUYAZ,true,61873,36158
006OJ00000I1EUnYAN,true,38684,98923
006OJ00000I1FHBYA3,true,93272,73094
006OJ00000EhZC9YAN,true,74230,61878
006OJ00000FTYLpYAP,true,68689,62075
006OJ00000Eb7k3YAB,true,86799,81291
006OJ00000FDOjpYAH,true,45794,38296
006OJ00000F0WAYYA3,true,66919,66778
006OJ00000EuTFNYA3,true,38006,73942
006OJ00000F710LYAR,true,36792,84765
006OJ00000EsCfFYAV,false,30611,73116
006OJ00000FD9XtYAL,true,74281,62124
006OJ00000Blk5tYAB,true,49274,59712
006OJ00000FCvEnYAL,true,62970,76826
006OJ00000FJQm9YAH,true,65136,35431
006OJ00000FHsHtYAL,true,58626,56257
006OJ00000E9d8YYAR,true,77377,30896
006OJ00000F71gHYAR,true,41621,73195
006OJ00000FHXgUYAX,true,70319,89633
006OJ00000EaTEjYAN,true,48840,40023
006OJ00000FDe3qYAD,true,52832,81890
006OJ00000EfVJ7YAN,true,42168,44512
006OJ00000FFqgpYAD,true,81031,44122
006OJ00000Chs7tYAB,false,87052,69130
006OJ00000CT5v3YAD,true,76857,41907
006OJ00000FJZUTYA5,true,75734,69776
006OJ00000FJTNRYA5,true,79541,69920
006OJ00000EVGmnYAH,true,35727,65258
006OJ00000FHQgcYAH,true,58860,39721
006OJ00000ETSX7YAP,true,42664,80028
006OJ00000FAtFVYA1,true,63234,37037
006OJ00000FDAc2YAH,true,87477,67441
006OJ00000F8fRyYAJ,true,93752,81268
006OJ00000FHZTlYAP,true,86789,40220
006OJ00000EsCfFYAV,true,35121,88031
006OJ00000F8gSsYAJ,true,31126,66331
006OJ00000El26LYAR,true,31724,34843
006OJ00000FMsp8YAD,true,89828,36779
006OJ00000FMPdSYAX,true,49435,98458
006OJ00000FahqbYAB,true,85494,41837
006OJ00000FVEm1YAH,true,54981,84207
006OJ00000FaCtHYAV,true,33910,58333
006OJ00000FZIO2YAP,true,92701,75118
006OJ00000FEy5JYAT,true,35164,96870
006OJ00000F70NdYAJ,true,80588,38337
006OJ00000GEvdAYAT,true,78907,93350
006OJ00000CY1qoYAD,true,85328,37692
006OJ00000FYv3FYAT,true,34809,45984
006OJ00000GEpSsYAL,true,42874,85295
006OJ00000GF26jYAD,true,42483,75941
006OJ00000GChb3YAD,true,41289,91321
006OJ00000G6qfRYAR,true,98603,36145
,true,43150,87998
006OJ00000Gb8lPYAR,true,87922,57586
006OJ00000GaXaYYAV,true,41170,72621
006OJ00000CXDcIYAX,true,73147,74198
006OJ00000FgBT7YAN,true,89374,68012
006OJ00000GVsXZYA1,true,79591,42825
006OJ00000GVnCwYAL,true,80287,32577
006OJ00000GXPhaYAH,true,30137,82627
006OJ00000GVD6DYAX,true,30013,87186
006OJ00000FgHDWYA3,true,51684,96627
006OJ00000FyHF4YAN,true,94105,88456
006OJ00000FxN3BYAV,true,62377,60438
006OJ00000GOjE6YAL,true,68811,45354
006OJ00000FST01YAH,true,57679,48851
006OJ00000GAX7xYAH,true,96959,42738
006OJ00000GK0ViYAL,true,31617,78626
006OJ00000GMmKxYAL,true,44716,35833
006OJ00000GKYFdYAP,true,96773,63711
006OJ00000FJwE9YAL,true,86384,66985
006OJ000009on1xYAA,true,99494,46338
006OJ00000FVIPpYAP,true,50490,32925
006OJ00000FJaOvYAL,true,65828,54117
006OJ00000FEUbuYAH,true,46424,84193
006OJ00000EwQ5JYAV,true,99463,38430
006OJ00000EeaWAYAZ,true,63895,37370
006OJ00000FNKVGYA5,true,92841,93412
006OJ00000D6u3FYAR,false,94549,86512
006OJ00000I1OHFYA3,true,47435,80095
006OJ00000I1HR3YAN,true,37504,35181
006OJ00000I1EEhYAN,true,44053,75370
006OJ00000I1GjWYAV,true,30988,70562
006OJ00000I13eFYAR,true,87892,61295
006OJ00000I1HPRYA3,true,98376,90092
006OJ00000I1F97YAF,false,72305,55373
006OJ00000I1CT1YAN,true,55383,45847
006OJ00000I1FqfYAF,true,68943,38226
006OJ00000I1HMDYA3,true,97702,56428
006OJ00000I1GmjYAF,true,74157,98781
006OJ00000I1GmkYAF,true,73710,80270
006OJ00000I1EZdYAN,true,73857,74583
006OJ00000I1HndYAF,true,94319,71802
006OJ00000I1DyYYAV,true,44154,41227
006OJ00000I1G5BYAV,true,53768,86675
006OJ00000I1EcrYAF,true,54181,78286
006OJ00000I1HVtYAN,true,97509,62180
006OJ00000I17TMYAZ,true,60340,37788
006OJ00000I1GBdYAN,true,68426,72714
006OJ00000I16PDYAZ,true,61307,85625
0063Z00000fy4zZQAQ,true,70677,30974
0063Z00000fy508QAA,true,84663,95824
0063Z00000fy51kQAA,true,64989,99347
0063Z00000fy52JQAQ,true,81267,67781
0063Z00000fy52iQAA,true,37257,43954
0063Z00000fy537QAA,true,56602,42104
0063Z00000fy53bQAA,true,30928,48841
0063Z00000fy53vQAA,true,81877,88069
0063Z00000fy54KQAQ,true,66460,85294
0063Z00000fy55mQAA,true,44438,75753
0063Z00000fy56kQAA,true,64879,99499
0063Z00000fy57TQAQ,true,81292,94192
0063Z00000fy58HQAQ,true,51901,98301
0063Z00000fy58gQAA,true,91772,63605
0063Z00000fy58qQAA,true,50726,76473
0063Z00000fy59FQAQ,true,49846,73668
0063Z00000fy59jQAA,true,81391,34333
0063Z00000fy59yQAA,true,95434,76977
0063Z00000fy5BfQAI,true,44181,32650
0063Z00000fy5CYQAY,true,41753,96758
